text,index,speaker,date,title
"It is a pleasure to be addressing the new American Bankers Association, which has arisen from the successful merger of America's Community Bankers and the ABA. Your association truly represents the full range of banks in the United States. The focus of my remarks today--the importance of fundamentals in risk management--should still resonate with all of you, whether you are part of a large global bank or a smaller community bank. Unfortunately, recent market events have shown us that banking institutions still face some risk management challenges, including a need to refocus on some key fundamentals. The good news, however, is that we also have many examples of sound risk management practices during the recent disruptions.",0,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
"Risk Management Challenges Getting the fundamentals right--and being ever vigilant about their consistent application and execution--forms the basis of any sound risk management system. I am not trying to imply that implementing risk management fundamentals is easy; that is, just because something is fundamental does not mean that it comes naturally. In fact, there are a number of risk management challenges inherent in banking that require careful identification and attention.",1,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
"One of the most basic risk management challenges relates to concentration of risks. From the beginnings of banking, bankers always have had to be cautious to guard against, as the old adage says, ""putting all their eggs in one basket."" For example, Renaissance bankers learned the lesson--some of them the hard way--that they did better by lending not just to a few merchants active in one trade, but to a range of merchants active in a variety of trades. As risk management techniques grew over the centuries, bankers became more adept at identifying, measuring, and managing risk concentrations, but that does not mean the original problem presented by concentrations--that losses could occur all at the same time--has vanished. Indeed, some bankers occasionally forget that this challenge still exists, usually with unfavorable consequences.",2,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
"It is also important to note that concentrations in banking include not just basic lending, but also holding securities, trading complex instruments, providing liquidity facilities, engaging in off-balance sheet transactions, and conducting other financial activities. As banks have extended their range of activities and involvement in new markets, they must be particularly mindful of potential for concentrations of risk to arise for a number of reasons. First, any new activity will be less familiar and involve less data and experience for evaluating risk compared with long-standing activities or markets. Second, risk concentrations can be hidden during normal times and may only manifest themselves during times of stress when activities or instruments that might in normal times have little or negative correlation suddenly become correlated, such as with a market-wide increase in the demand for liquidity as we have seen recently. In other words, bankers may have far more eggs jostling around in the same basket, and each of those eggs may be more fragile than originally thought.",3,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
"Understanding the linkage between risk concentrations and capital is especially important, since the concentration of risk of a given portfolio markedly affects the amount of capital that should be held against it. Heavy concentrations can produce so-called fat tails in a loss distribution, meaning that considerably higher capital levels are required to support the risk taken. If one underestimates the amount of capital needed to be held against risk concentrations and/or the extent of the concentrations themselves, then a banker would realize that the initial level of capital was not sufficient and that remedial actions would need to be taken. Naturally, both large and small banks can continue to be successful and profitable by having some lending or other types of concentrations, but they need to be aware of the risks involved and have the proper risk management and capital to support those concentrations.",4,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
"Risk Management FundamentalsI would now like to elaborate on three key risk management fundamentals and their relationship to concentrations of risk in banking: Governance and risk control; risk identification and measurement; and liquidity risk management. In doing so, I will highlight some important findings from a report released last week by a group of supervisory agencies from France, Germany, Switzerland, the United Kingdom and the United States, known as the Senior Supervisors Group or SSG. The report, ""Observations on Risk Management Practices during the Recent Market Turbulence,"" provides a summary and analysis of a joint survey and review, initiated last autumn, of risk management practices to understand how different approaches fared during the recent financial stress. Although the analysis covered a group of the largest banking and securities firms, the lessons learned actually have relevance for all financial institutions of all sizes and scope--even those that have thus far not suffered from recent financial turbulence. I will also discuss a few other examples of supervisory activities, such as our recent guidance on commercial real estate concentrations, from which we have learned valuable lessons.",5,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
"Governance and controlsI will start with perhaps one of the most fundamental aspects of risk management at banking organizations--in fact, at any organization: governance and controls. The SSG report highlighted solid senior management oversight and engagement as a key factor that differentiated performance during recent events. Clearly, senior management must take on a very active and involved role in risk management. Although this may seem somewhat obvious, a few recent cases demonstrate, unfortunately, that senior management may not always exercise proper oversight and may not have been as engaged as would have been wise. As supervisors, governance and controls is a key feature we look at in assessing risk management at an institution.",6,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
"Clearly, senior managers also need to ensure that they have proper understanding of the risks assumed by their firm, but this does not always happen. For example, we have seen some evidence that information was kept in silos within firms and not adequately distributed both vertically and horizontally within certain firms. This segregation prevented senior managers from developing an enterprise-wide perspective on risks to the whole entity. It meant that managers were not fully aware of the extent to which the risks of the different activities undertaken by the firm could, first, become correlated in times of stress and, second, result in high concentrations of risk exposures. To be quite specific, in particular cases, senior management was not fully aware of the firm's latent concentrations to U.S. subprime mortgages, because they did not realize that in addition to the subprime mortgages on their books, they had exposure through off-balance sheet vehicles holding mortgages, through claims on counterparties exposed to subprime, and through certain complex securities. Adequate distribution of information allows for an enterprise-wide perspective on risk. Information must percolate up to senior management, but top executives must, in turn, disseminate their views and analysis back down through the business lines.",7,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
"Effective risk management remains sturdy and durable only if supported by strong and independent risk functions that produce unbiased information. Empowering independent risk managers results in clear, dispassionate thinking about the entire firm's risk profile, with no favoritism toward any business unit. Senior managers should encourage risk managers to dig deep to uncover not only risks within each business unit, but also risk concentrations that can arise from the set of activities undertaken by the firm as a whole as well as latent risks--such as hidden risk concentrations that can arise from correlation of risk in times of stress. Such risk management assessments should lead risk managers to point out cases in which certain business lines are assuming too much risk. ",8,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
"In other words, it is good to have a few people within the institution who--to paraphrase a former Federal Reserve Chairman--know when to take away the punch bowl. Being the party pooper, however, can be very difficult in any organization, and that is why it is crucial for the risk manager to be known as an independent voice who is influential with top management and for top executives, of large or small firms, to set the appropriate ""tone at the top"" with respect to the importance of independent and unbiased risk evaluation.",9,Governor Randall S. Kroszner,3/11/2008,The Importance of Fundamentals in Risk Management
