text,index,speaker,date,title
"Thank you for the opportunity to join you today. Let me start by recognizing Indigenous Peoples' Day, and the proud history and ongoing contributions of Native Americans throughout the United States. Last month, I had the privilege to visit Native communities and Native lands in Montana to learn about the economic development opportunities and challenges in Native economies and gain a better understanding of how we can foster a financial system that works for all, including those in Indian Country.",0,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
"I have spent considerable time throughout my career thinking about the potential of the financial system to make a difference in the lives of individuals and their communities. Access to credit and other financial services is key to families navigating the many challenges they face and building a better future. The pursuit of this goal inspires many of you in your jobs as well. But in order for the financial system to play this role, it must be able to weather unexpected stress and continue to serve its customers and communities. And this requires that banks have sufficient capital, the subject of a proposal that the agencies recently put out for comment.",1,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
"Most of the banks represented in this room todayâand the vast majority of banks in the countryâwould not be subject to the Board's recent ""endgame"" proposal on bank capital. The proposal affects only the very largest banks. Even so, I suspect that you have heard a lot about it! The bulk of the proposed changes have been a decade in the making, and, as the name implies, the proposal is the last major plank to address gaps in regulation dating from the Global Financial Crisis.",2,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
"Since the Federal Reserve Board has just begun to receive comments on the proposed rules, I cannot say how those rules will evolve, but I can try to provide more background on why I believe the benefits of the proposal would outweigh the costs. I will also discuss the importance we place on public engagement in the rulemaking process to ensure we strike the right balance between the costs and benefits of our rules.",3,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
The proposal is projected to raise capital for large banks. This may result in higher funding costs. But this is only half the story. Capital also enables banks to absorb more losses without risking their ability to repay their creditors.,4,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
"The effective rise in capital requirements related to lending activities in the current proposal is a small portion of the estimated overall capital increase. The bulk of the rise in required capital anticipated in the proposed rule is attributed to trading and other activities besides lendingâactivities that have generated outsized losses at large banks and areas where our current rules have shortcomings. The estimated increase in capital required for lending activities on averageâinclusive of both credit risk and operational risk requirementsâis limited. Such a rise might be expected to increase the cost to banks for funding the average lending portfolio by up to 3 basis pointsâ0.03 percentage points. We recognize that the cost of funding for a specific loan would depend on the specific risk weight for that activity, and that there may be other channels by which higher capital requirements could matter. This is an area where commenters can shed light on additional considerations for the cost and benefits of the rule.",5,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
"The private costs of capital must be weighed against the social benefits of higher capital in creating a healthier, more resilient financial system, and reducing the likelihood of financial crises. As we indicated in the preamble to the endgame proposal, historical experienceâparticularly our experience during the Global Financial Crisisâdemonstrates the severe impact that distress or failure at individual banking organizations can have on the stability of the U.S. banking system. Fifteen years ago, the Global Financial Crisis starkly revealed the cost to society of a banking system that had held insufficient capital. In the lead-up to the financial crisis, the rules didn't fully capture the credit and operational risks of asset classes like subprime mortgages, securitizations, and derivatives, which led to enormous losses at banks. Banks were woefully undercapitalized for these losses. The financial crisis upended lives and did severe damage to the economy, causing the worst and longest recession since the Great Depression. It took six years for employment to recover, during which time long-term unemployment ran for long periods at a record high, and more than 10 million people fell into poverty. Six million families lost their homes to foreclosure. And these costs occurred even with an unprecedentedly large response by government.",6,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
"Research suggests the costs of a financial crisis are sizable. While estimates vary widely, the cumulative loss in economic activity is consistently estimated to lie above 20 percent of annual GDPâand in some estimates up to 100 percent of GDP. For the United States, these estimates imply losses from financial crises of $5 trillion to $25 trillion based on current GDP. The macroeconomic benefit of increased capital comes from reducing the likelihood of such a costly event. Better capitalized banks are better able to absorb losses and continue to lend to households and businesses through times of stress, which in turn, helps to ensure that we have a healthy and strong economy.",7,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
"The Strength of the Initial Reforms
Following enactment of the Dodd-Frank Wall Street Reform and Consumer Protection Act (Dodd-Frank Act) in 2010, the Board adopted an initial set of reforms to increase the quantity and quality of capital, run an annual supervisory stress test, and set a capital surcharge on global systemically important banks (G-SIBs) to reflect the greater risk these firms pose to U.S. financial stability. These initial reforms have greatly strengthened our banking system and the common equity capital ratio of the largest banking organizations more than doubled, from 5.5 percent in 2009 to 12.4 percent at the end of last year.",8,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
"As these initial reforms were being put in place, many in the banking sector claimed that the changes would harm lending and the broader economy. Since then, the U.S. economy has grown substantially, and the U.S. banking system has grown from $12 trillion in assets to $23 trillion. Bank profitability measuresâwhich dropped dramatically in the Global Financial Crisisâhave mostly recovered and are close to historical averages. So as banks increased their capital cushions, their profitability grew, as did their market valuation. The increased strength has enabled banks to support the economy. U.S. banks have maintained their position at the top of the league tables of global capital markets activity.",9,Vice Chair for Supervision Michael S. Barr,10/9/2023,Capital Supports Lending
