text,index,speaker,date,title
"I want to thank the Institute of International Bankers for inviting me to discuss the outlook for the global and U.S. economies at what I believe is an important juncture in the evolution of what I refer to as the ""COVID event"": the outbreak of COVID-19 and the government and social response to it.",0,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
"First, I will discuss the global economy before turning to our domestic economy and its outlook. From there, I will discuss my views on monetary policy, including the new long-run monetary policy strategy recently announced by the Federal Open Market Committee (FOMC). And I will wrap up with a brief discussion on financial stability and regulatory issues.",1,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
"International Economic Conditions
Let me start with a picture of the global economy. Although challenges remain, especially among some emerging market economies, significant support to households and businesses from central banks and fiscal authorities has contributed to a strong rebound in a number of advanced and some emerging Asian economies since those countries began to loosen restrictions. In these economies, the reopening of factories has led to a resurgence of industrial production. Retail sales are rebounding and in some countries are already above levels seen before the COVID event. However, international trade has been slower to increase.",2,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
"The extent of the recovery in some jurisdictions has been surprisingly robust compared to many analysts' expectations earlier this year. The momentum is feeding into many private-sector forecasts that suggest prospects are good for strong economic growth in the United States and other advanced economies over the rest of this year and next. However, the hole that countries are in remains deep, and significant downside risks still exist.",3,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
"Perhaps the most discussed risk has been that a ""second wave"" of the virus could trigger a return to widespread mobility restrictions and business closures. Several countries, including some portions of the United States, have seen a substantial resurgence of infections in recent months. This has been accompanied, however, by substantially lower hospitalization and death rates in most cases, and so far most countries have been able to address the resurgence without reinstituting severe restrictive practices. Mobility indexes have been little changed in Europe and the United States, and the declines in Asia have been modest. Businessesâwhich have adjusted operations and, in some cases, changed business modelsâseem much better adapted to remaining open. I am also hopeful that better testing, tracing, and treatment regimens, as well as improved understanding by the public about how to manage the risks of the disease, will allow firms, individuals, and governments to address public concerns about the virus while avoiding a second severe downturn or a protracted stagnation.",4,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
"Still, the economic fortunes of households and businesses around the world remain at risk. Incomes and employment are likely to lag below pre-COVID event levels for some time, which would put stress on the finances of many families. Some people may remain reluctant to return to full engagement in social and economic life, weighing especially on the service sector. Even with support from monetary and fiscal policy, large numbers of businesses may close. These closures may lead to some longer-term scarring of the economy through lower investment, reduced capacity, and long-term unemployment leading some to drop out of the labor force altogether. While I am optimistic that recovery is underway and the worst outcomes can be avoided, these concerns suggest that policymakers around the world need to remain watchful and ready to act further.",5,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
"Domestic Economic Conditions and the Outlook
Now let me focus on U.S. economic conditions and the outlook. The historic collapse in economic activity in March and April will take time to reverse. However, the economy has rebounded more strongly than almost any forecaster expected. That resilience reflects the economy's underlying strength upon entering the recession and demonstrates its inherent flexibility, as well as the dynamism of the American people. For example, the Census Bureau reports that applications by people seeking to start new businesses have surged this summer.",6,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
"The median of projections for 2020 by FOMC participants in September showed that both gross domestic product (GDP) and inflation had been revised up significantly from the median in the June projections. I expect that robust GDP growth over the rest of this year and in 2021 will lead to strong employment gains and move inflation closer to 2 percent. I would still caution that there is an unusually large amount of uncertainty now about any outlook, and I see the risks to the outlook as weighted to the downside. However, given the trends I previously discussed in the way countries are adjusting to the COVID event, I am optimistic that the United States can avoid the highly adverse outcomes that many feared would materialize.",7,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
"Turning now to the labor market, unemployment was still at 8.4 percent in August and the labor force participation rate still down significantly from February. The extraordinary package of fiscal support in the CARES Act (Coronavirus Aid, Relief, and Economic Security Act) helped to support household incomes and to offset the effect of the huge job losses in March and April. But the act's unemployment provisions have expired, and most of the businesses that received Paycheck Protection Program (PPP) loans report that they have exhausted those funds. In addition, one area where increased understanding of the disease has, in many places, not led to general changes in practice is in the widespread school closures this fall. Many parents with children will be forced to work less, or not at all, which is going to be a hardship for them and weigh on the economy. So, I agree with Chair Powell that it will take continued support to sustain a robust recovery.",8,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
"Although still unacceptably high, an 8.4 percent unemployment rate represents a considerable improvement from 14.7 percent in April and is already much lower than many thought possible this year. By comparison, after the onset of the Great Recession, it took more than two years to reduce unemployment from the peak of 10 percent to 8.4 percent. One reason for the faster turnaround this time is that many of the initial job losses, and subsequent job gains, were due to temporary disruptions that many businesses have overcome. However, some indicators point to slower improvement in the job market going forward.",9,Vice Chair for Supervision Randal K. Quarles,9/23/2020,Optimism in the Time of COVID
