text,index,speaker,date,title
"Good morning.  I am delighted to be speaking to you today at the second of a pair of excellent conferences that the Federal Reserve Bank of San Francisco has organized on the tenth anniversary of the Asian financial crisis. Janet Yellen and her staff deserve kudos for focusing our attention on this important topic and I feel honored for the invitation to speak today.  

IntroductionBefore moving to the main topic, I would like to reinforce remarks made last week by Chairman Bernanke on the recent turbulence in financial markets.  In the United States we have seen a fairly sharp downturn in housing markets, and in recent weeks there have been growing investor concerns about mortgage credit performance, particularly with subprime mortgages.  If current conditions persist in mortgage markets, the demand for homes could weaken further, with possible implications for the broader economy.  And financial stress has not been limited just to mortgage markets, but has spread to other markets.  In general, a shift in risk attitudes has interacted with heightened concerns about credit risks and uncertainty about how to evaluate those risks.  Fortunately, this recent period of turbulence in financial markets has occurred at a time when U.S. commercial banks are strongly capitalized, reflecting years of robust profits.
As the nation's central bank, the Federal Reserve seeks to promote general financial stability and to help to ensure that financial markets operate in an orderly manner.  Accordingly, the Federal Reserve has taken some steps in recent weeks to provide liquidity and to promote the orderly functioning of markets.  We continue to follow these developments in financial markets closely, particularly those that may have a broad impact on real economic activity.  
Today I plan to offer some thoughts about ways to analyze and assess the impact of banking crises on real economic activity.  Others at this conference will be addressing some of the specifics of the Asian financial crisis in 1997-98 and the status of economies and financial systems of Asian countries today, so I believe I can best contribute by setting up a conceptual and empirical framework that can be applied to various types of financial crises, including Asia in 1997-98.  
Much of what I plan to discuss is based on a paper I published earlier this year with colleagues at the International Monetary Fund and World Bank, Luc Laeven and Daniela Klingbiel, titled ""Banking Crises, Financial Dependence, and Growth"".  In particular, this research focuses on a key question for policy, namely, through what channels can financial turmoil have an impact on real economic activity?  We study the effect of different types of crises on the performance of various sectors and firms in economies with differing levels of development of their banking and financial systems.  Surprisingly, little systematic empirical work had been done detailing the mechanisms by which financial crises can generate problems in the real economy.  I will provide a brief overview of these results and then draw some lessons that policymakers might keep in mind when considering ways to help prevent and mitigate future crises. 
As a final introductory thought, I want to note that my remarks today on banking crises relate to research conducted on a range of countries, many of them emerging-market countries, and are not a commentary on current financial conditions or on the health of the U.S. banking system, which, as I noted above, is quite good.
Framework for Assessing and Analyzing Banking CrisesFinancial crises can assume various forms.  I am going to focus primarily on financial crises involving the banking sector and do so for several reasons.  First, banks play a prominent role in the credit intermediation process in most countries, providing funding to firms beyond the cash flow provided by their normal operations.  Banks also typically serve as custodian of a significant portion of household saving.  In many Asian countries, for example, banks play a key role in channeling credit to firms--particularly those firms not able to acquire funding from capital markets or other sources--and also hold substantial consumer deposits.  
In addition, much of the literature on financial crises indicates that crises involving the banking sector can lead to disruptions in the real economy.  The definition of banking crisis I will use today, consistent with the definition in our recent paper, is an episode during which the capital of the banking sector has been depleted due to loan losses, resulting in a negative net worth of the banking sector.  Therefore, the use of the term ""banking crisis"" in our research refers to major disruptions in a country's banking system, not just minor downturns or disturbances.  By focusing on banking crises in our research paper, we were able to isolate the impact of banks on the provision of credit and liquidity to firms during times of distress.  I believe that combining this type of empirical research on banking crises with practical experience from bank supervisors and market participants, such as those attending this conference, helps us all to understand and address the problems associated with banking crises--and perhaps even to help to prevent them.  
Much work has been done on how financial intermediaries and financial markets facilitate investment by firms and, hence, promote economic growth.  Financial intermediaries and financial markets are generally thought to reduce information asymmetry problems that can make raising external funds difficult and expensive for firms.  Well-functioning and well-developed financial intermediaries and markets thus should particularly benefit firms that rely most heavily on external funding to finance their growth.  Conversely--and this is the novel aspect of our research--crises in the financial sector thus should have a disproportionately negative impact on firms that rely heavily on external sources of finance. 
In particular, we investigate whether the impact of a banking crisis on sectors dependent on external sources of financing varies with the level of development of the financial system.  If the banking system is the key element allowing firms that depend heavily upon external funding sources to finance their growth, then an impairment of these intermediaries--in a system where such intermediaries are important--should have a disproportionate contractionary impact on precisely those sectors that flourished in ""normal"" times, due to their reliance on banks.  Thus, an important element of our analysis is the level of development of a country's financial system, that is, whether it is ""deep"" (more developed) or ""shallow"" (less developed).
To address these issues, we gathered data from thirty-eight developed and developing countries that have experienced a banking crisis during the last quarter century.  We documented clear linkages between the state of the banking system and the performance of the real economy.  More specifically, we find that in well-developed and deep financial systems, sectors highly dependent on external sources of funding tend to experience a greater contraction during a banking crisis than do externally dependent sectors in countries with shallower financial systems. In other words, sectors of the real economy that rely heavily on external finance (that is, do not fund capital expenditures through cash flow) tend to experience a substantially slower growth of value added during a banking crisis than those sectors that do not rely so heavily on external funding.  This effect is more pronounced in countries with more developed financial systems.  Our results hold for a wide group of countries and over a long time span, but as I note below, have particular relevance to emerging market countries.  
While these results are consistent with a so-called credit channel impact of banking crises on real economic activity, there are further implications of the ""credit channel"" view that we explore in more detail.  Among firms that depend heavily on outside financing, young firms with short histories and firms with a large fraction of hard-to-measure intangible assets, for example, may have particular difficulties raising funds from the market due to information problems.  Instead, such firms would tend to depend heavily on banks and other intermediaries for funding.  Consistent with this, we find a greater negative impact of banking crises on growth for industries dominated by young firms that are highly dependent on external finance and for industries with high levels of intangible assets.  
While all of these results are consistent with a ""credit channel"" view of the impact of banking crises on real economic activity, we certainly need to explore some alternative explanations before drawing final conclusions.  In particular, many factors may be correlated with the level of financial development of a country, so we want to make sure that the level of financial development is not simply standing in for something else.  The differences in financial development, for example, can arise from historical, political, cultural, and legal reasons.  There is a well-developed literature emphasizing, for instance, that the nature of a country's legal system and the manner in which laws are enforced can have an effect on the development of its financial system.  Similarly, other country-specific factors also might have an influence on how financial institutions and markets behave.  If one of these factors, rather than financial development, is driving the results, we might have to interpret those results differently.
As a way to try to address such questions of interpretation, we controlled for the quality of the political and legal institutions in the countries included in our data analysis.  We found that our results still hold, namely that a banking crisis has a more pronounced effect on a country's economy when its financial system is more developed and when its firms rely more on external finance, even after taking into account a variety of proxies for the differences in the quality of institutions and legal structures across countries.
Furthermore, we explored differences in the effect of banking crises on countries based on their overall levels of development.  In other words, we wanted to assess separately the impact of banking crises in less-developed countries versus more-developed countries since, of course, overall economic development and financial sector development tend to be correlated.  Interestingly, when we remove Organization for Economic Co-operation and Development (OECD) countries from our sample, the effects of banking crises were more pronounced, indicating that banking crises in emerging market countries likely do more harm to the overall economy than in developed countries.  
Interestingly, our research also provides evidence that crises affecting the banking sector can have a more serious impact on the real economy than alternative economic disruptions such as economic contractions or shocks such as currency crises.  That is, banking crises have represented a unique shock to a country's financial system.  These results suggest that the ""credit channel"" effects on real economic activity we document are operating through the banking system.  
In short, the results highlight that a healthy banking system generally contributes to strong economic growth, and banking crises can present a substantial drag on the real economy.  This underscores why we consider it important to analyze the economic impact of financial crises involving the banking sector, and to mitigate potential drivers of such crises.  Indeed, in the case of Asia a decade ago, the trouble experienced by the region's banks, given their dominant role in Asian financial systems, created disruptions that spread across Asia.  Problems in the real economies of Asian countries would likely not have been so great had the banking systems been stronger.
So far I have been discussing results that focus on the real growth impact on sectors or industries.  We were able to obtain data on the impact on individual firms but for a smaller sample than for the sectors or industries.  We use a variety of measures for individual firm performance, such as real growth in sales, real growth in earnings before interest and taxes, and real stock market returns.  The results are the same as in the sectoral level data I described above:  The performance of firms heavily dependent upon external sources of funding is disproportionately negatively affected in deep financial systems during periods of banking crisis.   
In addition to providing microeconomic support for the credit channel view, individual firm data also allow us to examine important hypotheses about the impact that transparency and public disclosure by individual firms can have to mitigate the effects of banking crises on those firms.  One author, using data from the Asian crisis, has investigated the relationship between stock market performance and quality of public disclosure.  Our recent paper also delved into this issue by using certain proxies for individual firm disclosure practices, such as having a listing in the United States (hence disclosing by U.S. standards) or by being audited by one of the major international accounting firms.  Our results suggested that greater public disclosure had a favorable impact on stock market performance, both during the crisis period as well as afterward.  Indeed, there is a large literature supporting the idea that a country can benefit by promoting transparency and disclosure.  But I know that there is still ongoing debate about the effects of globalization on financial markets and economies and I believe that further research and discussion about the benefits of openness and transparency are worthwhile.  Perhaps a discussion on this topic will ensue at this conference over the next two days.  
I will pose one final topic before moving on to some policy suggestions.  I believe it is important to try to understand the long-term impact of a crisis on the financial system and the real economy.  In particular, it is useful to examine whether a particularly deep crisis or a recent one may have effects on participants in that country during the next crisis.  Interestingly, our recent work provided some evidence that past crises do not necessarily create a stoppage of bank credit to firms once ""normal"" times returned, but when the next crisis occurred, its impact on growth was usually deeper in magnitude.  
Thoughts on Preventing and Managing Banking CrisesHaving raised some issues for consideration about banking crises--and having tried to provide some answers, where possible--I would now like to offer some thoughts that policymakers may consider as they try to prevent and manage banking crises.  I note that market participants should also consider these ideas, since it is not just policymakers who can learn lessons from past crises.  
First, one of the major lessons to be learned from past banking crises is the importance of a healthy banking system.  Maintaining a safe and sound banking system, given the key role that banks play in most financial systems, contributes to the health of a country's overall economy.  Most countries do this by some form of banking supervision, generally accepting that the added protection to the banking system in the form of supervision is worth the costs of the regulatory burden.  Effective banking supervision has helped foster a banking system in the United States that today is safe, sound, and well-capitalized.  
One of the ways that bank supervisors can help promote a healthy banking system is to focus banks on the development of improved risk-management techniques.  Indeed, identifying, assessing, and promoting sound risk-management practices have become central elements of good supervisory practice.  Bankers should ensure that their risk-management practices include a focus on less likely outcomes, not just the most common ones, and that the bank is being adequately compensated for the risk it is bearing.  The use of exercises such as stress tests and scenario analyses can help bankers identify certain points of vulnerability that may arise during potential downturns.    
In some countries, bank supervisors have an explicit responsibility to ensure that banks adhere to existing laws and maintain and implement appropriate consumer protection policies.  For example, in the United States the federal banking agencies play an important role in fostering not just a safe and sound banking system, but also one that is diverse and fair in meeting the needs of consumers. 
Good banking supervision is vital to the health of banks, particularly when the banking system has some type of government support--for example, either explicit or implicit deposit insurance.  But ensuring a safe and sound banking system that is also competitive and profitable has its challenges.  Clearly, banking supervision on its own can create some distortions or burden, so it is also very important to let market forces work as much as possible, with reliance on market participants--in their role as depositors, counterparties, creditors, and shareholders--to exercise discipline on banks.  Policymakers have to find the right balance between the more visible hand of government supervision and the invisible hand of market forces.  
Second, pursuing sound macroeconomic policies is another way for policymakers to help prevent banking and financial crises.  For instance, it is beneficial to have sound and sustainable monetary and fiscal policy to provide a stable operating environment for entrepreneurs and financial institutions and markets.  Many past crises were precipitated either by an external shock affecting an already vulnerable financial system or by market participants targeting vulnerabilities in certain markets or in certain institutions or governments.  History has taught us that if a condition or policy looks unsustainable, it most likely is and market forces will eventually bring it to an end.  To paraphrase Herb Stein, if a policy cannot go on forever, it won't!  
Third, I referred earlier to research on the benefits of disclosure and transparency.  Our analysis contributes to the evidence that having an open and transparent financial system and economy, accompanied by reliable and accurate accounting standards, generally benefits a country and its market participants.  A core principle of economics is that markets are more competitive, and therefore more efficient, when accurate information is available to both consumers and suppliers.  Information is thus critical to the effective functioning of financial markets:  timely and accurate financial information about markets, market participants, and governments is important for all actors to be able to make informed decisions.  This is of course true during normal times, but perhaps more so during a crisis when market participants and governments are sometimes trying to determine where problems lie and how severe they might be.  Lack of information can present additional problems during a crisis, and incorrect or incomplete information provided by firms, governments, and other institutions can severely undermine their credibility, worsening the problem.  
Conclusion  These conferences on the Asian crisis serve as excellent forums to analyze the events of ten years ago and share views on ways to prevent and mitigate future crises.  They also allow market participants to offer feedback on past policy steps, including which past policies helped and which ones hindered.  Policymakers and market participants must remember that preventing and mitigating financial crises requires a blend of sharp analysis, keen judgment, practical experience, and rigorous understanding of how markets work--in both normal times and times of stress.  
I have tried to provide a framework for analyzing the impact of banking crises on real economic activity, described some results analyzing crises from around the world during the last quarter century, and offered three policy lessons:  the importance of a healthy banking system, of sound macroeconomic policy, and of high levels of transparency and disclosure.  This is by no means an exhaustive list but I hope it can provide a useful starting point for the discussions that will take place during the rest of the day.
As a final thought, I counsel policymakers and market participants alike to remember that no two crises are the same.  Recall that the Asian crisis of 1997-98 actually manifested itself differently across Asian countries, with each country having its own set of problems and needing to find its own solutions.  In other words, there is never a single remedy to each crisis and each brings its own surprises and risks.  Clearly, we can all learn a lot from past crises--which is the value in holding conferences like this one.  But we should not assume that past remedies will fully solve the next set of problems or address all future risks.  The key is to take lessons from the past and tailor them appropriately to future situations of potential distress.

References
Beck, T., Levine, R., Loayza, N. (2000). ""Finance and the Sources of Growth,"" Journal of Financial Economics, vol. 58, pp. 261â300.
Braun, M., Larrain, B., (2005). ""Finance and the Business Cycle: International, Inter-industry Evidence."" Journal of Finance,  vol. 60 (June), pp. 1097â1128.
Caprio, G., Klingbiel, D. (2002).  ""Episodes of Systemic and Borderline Financial Crises.""  In: Klingebiel, D., Laeven, L. (Eds.), Managing the Real and Fiscal Effects of Banking Crises.  World Bank Discussion Paper No. 428, Washington, DC, pp. 31â49.
King, R.G., Levine, R. (1993).  ""Finance and Growth: Schumpeter Might Be Right."" Quarterly Journal of Economics, vol. 153, pp. 717â738.
Kroszner, R.S., Strahan, P.E. (2005). ""Regulation and Deregulation of the U.S. Banking Industry: Causes, Consequences, and Implications for the Future.  In: Rose, N. (Ed.), Economics of Regulation. NBER Conference Volume, Forthcoming.
Kroszner, Randall and Luc Laeven and Daniela Klingbiel (2007).  ""Banking Crises, Financial Dependence, and Growth, Journal of Financial Economics,"" vol. 87 (April), pp. 187-228.  
La Porta, R., Lopez-de-Silanes, F., Shleifer, A., Vishny, R.W. (1998).  ""Law and Finance,"" Journal of Political Economy, vol. 106, pp. 1113â1155.
Levine, R. (1997). ""Financial Development and Economic Growth: Views and Agenda (371 KB PDF),"" Journal of Economic Literature, vol. 35, pp. 688â726.
Levine, R. (2005). ""Finance and Growth."" In: Aghion, P., Durlauf, S. (Eds.), Handbook of Economic Growth. Elsevier Science, Amsterdam, The Netherlands, Forthcoming.
Milesi-Ferretti, G.M., Razin, A. (1998).  ""Current account reversals and currency crises: empirical regularities (176 KB PDF).""  NBER Working Paper No. 6620, Cambridge, MA.
Mitton, T. (2002). ""A Cross-Firm Analysis of the Impact of Corporate Governance on the East Asian Financial Crisis,"" Journal of Financial Economics, vol. 64, pp. 215â241.
Rajan, R.G., Zingales, L. (1998). ""Financial Dependence and Growth,"" American Economic Review, vol. 88, pp. 559â596.

Footnotes
1.  The views I express today are, of course, my own and do not necessarily represent those of the Board of Governors or the Federal Reserve System.   Return to text
2.  Kroszner, Laeven, and Klingbiel (2007). Return to text
3.  Our paper provides a literature review. Return to text
4.  Caprio and Klingbiel (2002). Return to text
5.  See Levine (1997, 2005) and Kroszner and Strahan (2005) for overviews. Return to text
6.  One measure of financial or external dependence is the fraction of capital expenditures not financing with cash flows from operations.  See Rajan and Zingales (1998).   Return to text
7.  In our recent research paper, the proxy for depth of the financial system is the ratio of private credit to gross domestic product.   Return to text
8.  Clearly, determining the precise timing of crises is difficult, both in terms of identifying the beginning and the end of a crisis. In our research we experimented with alternative definitions of crisis windows, expanding and contracting the length of the crisis, pre-crisis, and post-crisis periods as well as the gap between the crisis and the pre- and postcrisis periods; our results are not sensitive to the alternative definitions. Return to text
9.  La Porta et al (1998). Return to text
10.  For our definition of economic contractions, see Braun and Larrain (2005); for our definition of currency crises, see Milesi-Ferretti and Razin (1998). Return to text
11.  Mitton (2002). Return to text
",0,Governor Randall S. Kroszner,9/6/2007,Analyzing and Assessing Banking Crises
"Thank you for the invitation to be here this evening.  It is always a pleasure to be back in my hometown, and it is a particular pleasure to have a chance to talk again with the Money Marketeers.  At the outset, I would like to acknowledge that tomorrow marks the sixth anniversary of the terrorist attacks on the World Trade Center, the Pentagon, and United Flight 93, which crashed in Pennsylvania.  The anniversary weighs on the minds of Americans everywhere, and it weighs especially heavily on members of the New York financial community.  That terrible day and its aftermath remind us that resilience is a defining characteristic not just of our economy and financial system but also of our country and our city.  For as long as anyone who experienced it is alive, the memory of that awful day will not fade. ",0,Governor Frederic S. Mishkin,9/10/2007,Outlook and Risks for the U.S. Economy
"In my remarks this evening, I will review the current economic situation and outlook and make some specific observations about recent developments in financial markets.  I should note that the views I will express here are my own and not necessarily those of my colleagues on the Federal Open Market Committee (FOMC).",1,Governor Frederic S. Mishkin,9/10/2007,Outlook and Risks for the U.S. Economy
"As everyone in this room knows, financial markets have been front and center in recent discussions about the economy.  The FOMC noted on August 17 that financial market conditions deteriorated last month and that the associated tighter credit conditions and increased uncertainty have the potential to restrain economic growth going forward.  Indeed, at this point, housing demand seems likely to be crimped further by a marked reduction in the availability of mortgages, and consumer and business spending also could be damped as a consequence of the recent financial turmoil.  In light of these events, we will need to make the best possible real-time judgments about the extent to which the recent developments in financial markets are likely to affect economic activity in the period ahead.",2,Governor Frederic S. Mishkin,9/10/2007,Outlook and Risks for the U.S. Economy
"That said, the economy ended the second quarter on a positive note.  The Commerce Departmentâs Bureau of Economic Analysis recently reported that the economy expanded at an annual rate of 4 percent in the second quarter, about 1/2 percentage point higher than the first estimate.  Of course, the jump in growth followed a sluggish first-quarter gain:  That choppiness in growth reflected large swings in several factors that are often volatile, including inventory investment, federal defense outlays, and net exports.  Smoothing through this volatility, the underlying pattern of activity in the first half of the year essentially represented a continuation of the moderate growth that had prevailed since the spring of last year when growth in real gross domestic product stepped down from an above-trend pace.  Many of the spending indicators for the current quarter have remained consistent with that earlier trend.  However, for the most part, these data cover a period that predates the recent onset of financial turbulence.  ",3,Governor Frederic S. Mishkin,9/10/2007,Outlook and Risks for the U.S. Economy
"The step-down in the growth of real output that began in mid-2006 and proceeded through the middle of this year primarily reflected weakness in the housing market.  Declines in real residential investment subtracted nearly 1-1/4 percentage points from the growth of real GDP in the second half of last year and about 3/4 percentage point in the first half of this year.  Moreover, the demand for housing appears to be weakening further amid credit conditions for home mortgage lending that are generally tighter, but especially so in the subprime segment.  Sales of existing single-family homes in July were more than 20 percent below their peak in mid-2005, while sales of new homes in July were more than 37 percent below their peak.  Although housing starts have also moved down over the past year, the decline thus far has lagged the downturn in sales, and the backlog of unsold new homes has climbed to a very high level relative to sales.  Given this sizable backlog and the likelihood that sales will remain weak or weaken further in coming months, cutbacks in housing construction are likely to continue to be a drag on economic activity in future quarters.",4,Governor Frederic S. Mishkin,9/10/2007,Outlook and Risks for the U.S. Economy
"Turning to consumer spending, real outlays decelerated considerably in the second quarter.  To some extent, a moderation from the very rapid pace of growth around the turn of the year probably was to be expected.  In the second quarter, in particular, a jump in energy prices eroded the purchasing power of gains in household income, placing downward pressure on the growth of real spending at that point.  Even so, early indications are that household spending is holding up reasonably well thus far in the current quarter:  Real outlays for goods excluding motor vehicles posted a solid increase in July, and sales of light motor vehicles--which had slumped in June and July--rebounded last month. ",5,Governor Frederic S. Mishkin,9/10/2007,Outlook and Risks for the U.S. Economy
"Having said that, several factors suggest that consumer spending will be subdued in the period ahead.  This summerâs retrenchment in equity markets and the sharp deceleration in house prices have damped gains in household wealth this year and are likely to restrain consumer outlays.  Moreover, at least some households are likely to find it more difficult or expensive to borrow, and consumer sentiment--which turned down in August--could soften further if households become more anxious about recent financial market developments.  ",6,Governor Frederic S. Mishkin,9/10/2007,Outlook and Risks for the U.S. Economy
"Business investment in equipment and software weakened toward the end of last year and remained sluggish in the first quarter.  In part, the slowing reflected a downturn in outlays for capital goods that are used heavily by the motor vehicle and construction industries, two sectors in which activity had softened considerably.  But spending on other types of equipment also was soft in the first quarter.  In the second quarter, however, demand for these other types of equipment bounced back strongly, and the gains were extended in July--as reported in the most recent data on orders and shipments of capital goods.  ",7,Governor Frederic S. Mishkin,9/10/2007,Outlook and Risks for the U.S. Economy
"We have no direct readings on capital spending in August, but the limited indicators currently in hand--such as the Institute for Supply Managementâs survey of purchasing managers--have held up reasonably well and remain at levels consistent with modest growth in manufacturing production and business investment.  Of course, all this could change noticeably if many firms were to face significantly tighter credit conditions or if business sentiment were to soften appreciably.              ",8,Governor Frederic S. Mishkin,9/10/2007,Outlook and Risks for the U.S. Economy
