text,index,speaker,date,title
"
       I would like to thank the conference organizers for the opportunity to offer a few remarks on the causes of the 2007-09 financial crisis as well as on the Federal Reserve's policy response. The topic is a large one, and today I will be able only to lay out some basic themes. In doing so, I will draw from talks and testimonies that I gave during the crisis and its aftermath, particularly my testimony to the Financial Crisis Inquiry Commission in September 2010. Given the time available, I will focus narrowly on the financial crisis and the Federal Reserve's response in its capacity as liquidity provider of last resort, leaving discussions of monetary policy and the aftermath of the crisis to another occasion.
    ",0,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
"
Triggers and Vulnerabilities
       In its analysis of the crisis, my testimony before the Financial Crisis Inquiry Commission drew the distinction between triggers and vulnerabilities. The triggers of the crisis were the particular events or factors that touched off the events of 2007-09--the proximate causes, if you will. Developments in the market for subprime mortgages were a prominent example of a trigger of the crisis. In contrast, the vulnerabilities were the structural, and more fundamental, weaknesses in the financial system and in regulation and supervision that served to propagate and amplify the initial shocks. In the private sector, some key vulnerabilities included high levels of leverage; excessive dependence on unstable short-term funding; deficiencies in risk management in major financial firms; and the use of exotic and nontransparent financial instruments that obscured concentrations of risk. In the public sector, my list of vulnerabilities would include gaps in the regulatory structure that allowed systemically important firms and markets to escape comprehensive supervision; failures of supervisors to effectively apply some existing authorities; and insufficient attention to threats to the stability of the system as a whole (that is, the lack of a macroprudential focus in regulation and supervision).
    ",1,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
"
       The distinction between triggers and vulnerabilities is helpful in that it allows us to better understand why the factors that are often cited as touching off the crisis seem disproportionate to the magnitude of the financial and economic reaction. Consider subprime mortgages, on which many popular accounts of the crisis focus. Contemporaneous data indicated that the total quantity of subprime mortgages outstanding in 2007 was well less than $1 trillion; some more-recent accounts place the figure somewhat higher. In absolute terms, of course, the potential for losses on these loans was large--on the order of hundreds of billions of dollars. However, judged in relation to the size of global financial markets, aggregate exposures to subprime mortgages were quite modest. By way of comparison, it is not especially uncommon for one day's paper losses in global stock markets to exceed the losses on subprime mortgages suffered during the entire crisis, without obvious ill effect on market functioning or on the economy. Thus, losses on subprime mortgages can plausibly account for the massive reaction seen during the crisis only insofar as they interacted with other factors--more fundamental vulnerabilities--that served to amplify their effects.
    ",2,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
"
       On the surface, the puzzle of disproportionate cause and effect seems somewhat less stark if one takes the boom and bust in the U.S. housing market as the trigger of the crisis, as the paper gains and losses associated with the swing in house prices were many times the losses associated directly with subprime loans. Indeed, the 30 percent or so aggregate decline in house prices since their peak has by now eliminated nearly $7 trillion in paper wealth. However, on closer examination, it is not clear that even the large movements in house prices, in the absence of the underlying weaknesses in our financial system, can account for the magnitude of the crisis. First, much of the decline in house prices has occurred since the most intense phase of the crisis; the decline in prices since September 2008 is probably better viewed as largely the result of, rather than a cause of, the crisis and ensuing recession. More fundamentally, however, any theory of the crisis that ties its magnitude to the size of the housing bust must also explain why the fall of dot-com stock prices just a few years earlier, which destroyed as much or more paper wealth--more than $8 trillion--resulted in a relatively short and mild recession and no major financial instability. Once again, the explanation of the differences between the two episodes must be that the problems in housing and mortgage markets interacted with deeper vulnerabilities in the financial system in ways that the dot-com bust did not. So let me turn, then, to a discussion of those vulnerabilities and how they amplified the effects of triggers like the collapse of the subprime mortgage market.
    ",3,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
"
       A number of the vulnerabilities I listed a few moments ago were associated with the increased importance of the so-called shadow banking system. Shadow banking, as usually defined, comprises a diverse set of institutions and markets that, collectively, carry out traditional banking functions--but do so outside, or in ways only loosely linked to, the traditional system of regulated depository institutions. Examples of important components of the shadow banking system include securitization vehicles, asset-backed commercial paper (ABCP) conduits, money market mutual funds, markets for repurchase agreements (repos), investment banks, and mortgage companies. Before the crisis, the shadow banking system had come to play a major role in global finance.
    ",4,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
"
       Economically speaking, as I noted, shadow banking bears strong functional similarities to the traditional banking sector. Like traditional banking, the shadow banking sector facilitates maturity transformation (that is, it is used to fund longer-term, less-liquid assets with short-term, more-liquid liabilities), and it channels savings into specific investments, mostly debt-like instruments. In part, the rapid growth of shadow banking reflected various types of regulatory arbitrage--for example, the minimization of capital requirements. However, instruments that fund the shadow banking system, such as money market mutual funds and repos, also met a rapidly growing demand among investors, generally large institutions and corporations, seeking cash-like assets for use in managing their liquidity. Commercial banks were limited in their ability to meet this growing demand by prohibitions on the payment of interest on business checking accounts and by relatively low limits on the size of deposit accounts that can be insured by the Federal Deposit Insurance Corporation (FDIC).
    ",5,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
"
       As became apparent during the crisis, a key vulnerability of the system was the heavy reliance of the shadow banking sector, as well as some of the largest global banks, on various forms of short-term wholesale funding, including commercial paper, repos, securities lending transactions, and interbank loans. The ease, flexibility, and low perceived cost of short-term funding also supported a broader trend toward higher leverage and greater maturity mismatch in individual shadow banking institutions and in the sector as a whole.
    ",6,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
"
       While banks also rely on short-term funding and leverage, they benefit from a government-provided safety net, including deposit insurance and backstop liquidity provision by the central bank. Shadow banking activities do not have these safeguards, so they employ alternative mechanisms to gain investor confidence. Among these mechanisms are the collateralization of many shadow banking liabilities; regulatory or contractual restrictions placed on portfolio holdings, such as the liquidity and credit quality requirements applicable to money market mutual funds; and the imprimaturs of credit rating agencies. Indeed, the very foundation of shadow banking and its rapid growth before the crisis was the widely held view (among both investors and regulators) that these safeguards would protect shadow banking activities against runs and panics, similar to the protection given to commercial banking by the government safety net. Unfortunately, this view turned out to be wrong. When it became clear to investors that these alternative protections might not be adequate to protect against losses, widespread flight from the shadow banking system occurred, with pernicious dynamics reminiscent of the banking panics of an earlier era.
    ",7,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
"
       Although the vulnerabilities associated with short-term wholesale funding and excessive leverage can be seen as structural weaknesses of the global financial system, they can also be viewed as a consequence of poor risk management by financial institutions and investors, which I would count as another major vulnerability of the system before the crisis. Unfortunately, the crisis revealed a number of significant defects in private-sector risk management and risk controls, importantly including insufficient capacity by many large firms to track firmwide risk exposures, such as off-balance-sheet exposures.
    ",8,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
"
       This lack of capacity by major financial institutions to track firmwide risk exposures led in turn to inadequate risk diversification, so that losses--rather than being dispersed broadly--proved in some cases to be heavily concentrated among relatively few, highly leveraged companies. Here, I think, is the principal explanation of why the busts in dot-com stock prices and in the housing and mortgage markets had such markedly different effects. In the case of dot-com stocks, losses were spread relatively widely across many types of investors. In contrast, following the housing and mortgage bust, losses were felt disproportionately at key nodes of the financial system, notably highly leveraged banks, broker-dealers, and securitization vehicles. Some of these entities were forced to engage in rapid asset sales at fire-sale prices, which undermined confidence in counterparties exposed to these assets, led to sharp withdrawals of funding, and disrupted financial intermediation, with severe consequences for the economy.
    ",9,Chairman Ben S. Bernanke,4/13/2012,Some Reflections on the Crisis and the Policy Response
